,ID,Відправлення,Прибуття,Маса,Обєм,Відстань,Вартість,Спосіб,Безготівковий,ПДВ,Час,Транспорт
5311,411374985,Красноград,Харків,15.0,50.0,106.36,6000.0,1.0,0,0,1,Самоскид
5312,413454819,Красноград,Сарата,15.0,70.0,693.14,20000.0,1.0,0,0,1,Самоскид
5313,415665171,Кам’янське (Дніпродзержинськ),Кропивницький (Кіровоград),22.0,86.0,222.96,7500.0,0.0,0,0,1,Тент
5314,415672505,Єгорівка,Близнюки,19.0,14.0,621.84,11500.0,1.0,0,0,1,Тент
5315,397955102,Кам'янець-Подільський,Житомир,22.0,80.0,281.07,6600.0,1.0,0,0,1,Тент
5316,413276777,Житомир,Запоріжжя,18.0,86.0,649.52,1200.0,1.0,1,1,0,Крита
5317,409133175,Коростишів,Дніпро,22.0,86.0,580.35,11000.0,1.0,0,0,1,Тент
5318,412997931,Жмеринка,Житомир,22.0,35.0,169.9,3300.0,1.0,0,0,1,Тент
5319,415677451,Золочів,Чернівці,86.0,86.0,227.89,4750.0,1.0,0,0,1,Тент
5320,415676363,Обухів,Херсон,9.3,40.0,525.06,6000.0,1.0,0,0,1,Крита
5321,415661819,Краматорськ,Херсон,22.0,81.0,583.42,12000.0,0.0,0,0,1,Тент
5322,415679677,Чутове,Фастів,18.0,24.0,469.43,9000.0,1.0,0,0,1,Тент
5323,415679685,Чернігів,Кілія,23.0,50.0,794.67,17000.0,1.0,0,0,1,Самоскид
5324,415679699,Харків,Кропивницький (Кіровоград),0.5,2.5,382.81,1500.0,0.0,0,0,1,Крита
5325,415193547,Деражня,Козин,22.0,70.0,312.28,350.0,1.0,0,0,1,Зерновоз
5326,411542569,Чорноморськ (Іллічівськ),Ватутіне,18.0,100.0,368.77,16200.0,0.0,0,0,0,Зерновоз
5327,411538391,Чорноморськ (Іллічівськ),Ватутіне,18.0,100.0,368.77,16200.0,0.0,0,0,0,Зерновоз
5328,413827619,Чорноморськ (Іллічівськ),Ватутіне,18.0,120.0,368.77,18000.0,1.0,1,1,0,Зерновоз
5329,415670387,Єгорівка,Калинівка,21.0,17.0,419.19,8700.0,1.0,0,0,1,Тент
5330,415635903,Сквира,Олександрія,100.0,90.0,326.11,7500.0,0.0,0,0,1,Зерновоз
5331,415225771,Лисянка,Біла Церква,18.0,90.0,87.56,8000.0,1.0,0,0,1,Зерновоз
5332,415666115,Березне,Макарів,9.5,50.0,0.0,5000.0,1.0,0,0,1,Крита
5333,415599109,Біла Церква,Вінниця,3.5,10.0,161.72,3000.0,1.0,0,0,1,Крита
5334,415444163,Дніпро,Харків,90.0,90.0,221.86,5000.0,0.0,0,0,1,Тент
5335,415676239,Любомль,Ратуш,22.0,86.0,574.69,17000.0,1.0,1,1,0,Тент
5336,415636577,Ніжин,Київ,12.0,86.0,149.52,4000.0,1.0,0,0,0,Тент
5337,415565453,Івано-Франківськ,Куражин,50.0,50.0,256.29,5000.0,1.0,0,0,0,Тент
5338,415678115,Бровари,Чернівці,86.0,86.0,530.62,10500.0,0.0,0,0,1,Крита
5339,415678205,Бровари,Чернігів,30.0,30.0,118.22,1800.0,0.0,0,0,1,Крита
5340,415678141,Бровари,Дубровиця,86.0,86.0,663.15,9500.0,0.0,0,0,1,Крита
5341,415639849,Березне,Арбузинка,22.0,28.0,0.0,14500.0,1.0,0,0,1,Тент
5342,415554659,Біла Церква,Кременчук,1.2,5.0,305.17,2500.0,1.0,0,0,1,Крита
5343,415639905,Новоград-Волинський,Арбузинка,22.0,28.0,475.0,13500.0,1.0,0,0,1,Тент
5344,415639983,Городниця,Київ,22.0,28.0,298.39,7200.0,1.0,0,0,1,Тент
5345,403918081,Великі Мости,Дніпро,0.7,5.5,987.02,1700.0,1.0,0,0,0,Крита
5346,415349605,Дніпро,Київ,65.0,1.5,472.34,800.0,1.0,0,0,1,Крита
5347,415679125,Дніпро,Вінниця,3.3,30.0,563.7,15000.0,1.0,1,1,0,Крита
5348,415675271,Харків,Новомосковськ,20.0,46.0,196.07,5700.0,1.0,0,0,0,Самоскид
5349,415679735,Красноград,Харків,15.0,55.0,106.36,6000.0,1.0,0,0,1,Крита
5350,415679755,Шепетівка,Умань,22.0,56.0,350.39,9500.0,1.0,0,0,1,Тент
5351,415679759,Дніпро,Черкаси,3.3,30.0,469.32,7500.0,1.0,1,1,0,Крита
5352,415671101,Єгорівка,Миколаїв,16.0,12.0,167.14,4000.0,1.0,0,0,1,Тент
5353,415679771,Шепетівка,Краматорськ,22.0,56.0,935.35,20000.0,1.0,0,0,1,Тент
5354,415671249,Харків,Київ,10.0,86.0,470.93,5600.0,0.0,0,0,1,Тент
5355,415678469,Київ,Харків,10.0,86.0,471.76,8000.0,1.0,0,0,1,Тент
5356,412284385,Красний Лиман,Харків,22.0,80.0,197.24,6400.0,1.0,0,0,1,Тент
5357,399825124,Красний Лиман,Харків,22.0,84.0,197.24,6400.0,1.0,0,0,1,Тент
5358,415671353,Дніпро,Київ,20.0,86.0,472.34,7500.0,1.0,0,0,1,Тент
5359,415679515,Київ,Харків,10.0,85.0,471.76,8000.0,1.0,0,0,1,Тент
